country,year,coal_consumption,hydro_consumption,oil_consumption,nuclear_consumption,gas_consumption
Algeria,2005,6.908,1.59,134.213,0.0,223.56
Algeria,2006,10.258,0.619,139.846,0.0,228.497
Algeria,2007,8.804,0.639,156.39,0.0,233.807
Algeria,2008,8.804,0.795,169.916,0.0,244.042
Algeria,2009,5.652,0.955,180.134,0.0,262.118
Algeria,2010,3.605,0.48,181.612,0.0,253.272
Algeria,2011,3.198,1.043,192.228,0.0,267.97
Algeria,2012,3.396,1.067,204.395,0.0,298.741
Algeria,2013,1.838,0.27,213.576,0.0,321.215
Algeria,2014,2.082,0.523,221.925,0.0,360.918
Algeria,2015,1.547,0.39,236.148,0.0,379.225
Algeria,2016,0.57,0.193,229.564,0.0,385.962
Algeria,2017,2.117,0.149,225.512,0.0,394.625
Algeria,2018,5.815,0.31,227.786,0.0,434.087
Algeria,2019,4.803,0.401,236.951,0.0,450.546
Algeria,2020,1.524,0.13,211.925,0.0,433.5
Algeria,2021,3.105,0.024,221.204,0.0,481.529
Algeria,2022,2.175,0.042,226.853,0.0,503.387
Algeria,2023,1.933,0.179,238.201,0.0,462.962
Argentina,1965,8.455,3.623,275.216,0.0,41.234
Argentina,1966,6.972,3.669,283.876,0.0,44.657
Argentina,1967,7.84,3.757,290.735,0.0,46.699
Argentina,1968,7.619,4.429,296.797,0.0,52.0
Argentina,1969,9.122,3.972,308.011,0.0,51.805
Argentina,1970,11.723,4.604,278.435,0.0,58.544
Argentina,1971,10.278,4.572,296.501,0.0,63.203
Argentina,1972,8.651,4.443,295.186,0.0,70.924
Argentina,1973,9.497,8.863,297.199,0.0,80.708
Argentina,1974,11.826,14.769,297.124,2.94,85.424
Argentina,1975,11.511,15.361,280.828,7.142,87.525
Argentina,1976,11.643,14.829,290.235,7.298,98.514
Argentina,1977,11.009,17.052,305.658,4.645,102.89
Argentina,1978,13.419,22.907,297.309,8.217,100.07
Argentina,1979,12.502,31.512,319.81,7.639,102.89
Argentina,1980,11.145,44.771,297.018,6.64,112.129
Argentina,1981,10.56,43.423,278.526,7.99,117.186
Argentina,1982,10.666,52.02,265.018,5.306,133.135
Argentina,1983,9.68,54.463,268.312,9.662,143.152
Argentina,1984,7.185,58.779,255.453,13.169,152.391
Argentina,1985,10.6,61.071,237.507,16.361,155.697
Argentina,1986,12.109,62.186,249.746,16.205,168.242
Argentina,1987,13.44,64.795,266.58,18.345,168.34
Argentina,1988,13.772,45.121,268.36,16.452,196.639
Argentina,1989,14.903,38.995,246.347,14.298,206.559
Argentina,1990,12.266,52.378,229.973,20.66,197.32
Argentina,1991,10.794,46.925,240.283,22.008,200.918
Argentina,1992,12.168,56.671,252.706,20.092,217.256
Argentina,1993,8.07,70.283,247.78,21.991,229.413
Argentina,1994,7.065,80.686,261.495,23.367,235.831
Argentina,1995,7.414,78.371,259.544,20.05,262.478
Argentina,1996,7.767,66.449,259.824,21.165,301.183
Argentina,1997,6.128,82.573,275.3,22.589,277.551
Argentina,1998,8.237,78.288,283.285,21.148,296.71
Argentina,1999,9.885,63.27,287.107,20.163,314.701
Argentina,2000,7.513,84.497,264.938,17.527,322.967
Argentina,2001,6.157,107.465,245.349,19.9,302.35
Argentina,2002,4.586,104.433,232.869,16.304,294.376
Argentina,2003,5.594,98.026,237.502,21.056,336.29
Argentina,2004,9.52,87.782,254.686,21.76,368.091
Argentina,2005,10.962,97.975,266.664,18.885,392.89
Argentina,2006,9.924,108.169,281.325,21.082,406.505
Argentina,2007,14.36,88.279,312.609,19.683,427.122
Argentina,2008,17.516,87.673,316.196,19.938,431.887
Argentina,2009,9.621,96.679,302.028,21.929,418.356
Argentina,2010,13.472,92.593,327.436,19.203,420.874
Argentina,2011,14.619,86.034,339.912,16.942,438.398
Argentina,2012,13.669,79.967,360.511,16.845,456.642
Argentina,2013,14.939,89.316,382.58,16.233,460.277
Argentina,2014,15.892,87.82,379.916,14.334,461.55
Argentina,2015,15.814,87.084,387.81,18.19,466.526
Argentina,2016,12.189,79.649,375.905,21.283,482.1
Argentina,2017,12.525,84.082,371.477,15.547,483.0
Argentina,2018,13.709,85.401,354.626,17.447,487.021
Argentina,2019,8.124,72.501,321.832,21.354,465.589
Argentina,2020,10.015,62.163,288.195,25.229,439.312
Argentina,2021,14.052,51.412,350.891,25.536,459.341
Argentina,2022,14.892,59.363,411.806,18.686,458.528
Argentina,2023,12.794,77.665,391.435,22.342,449.364
Australia,1965,202.028,22.739,200.019,0.0,0.029
Australia,1966,209.389,21.719,214.048,0.0,0.039
Australia,1967,215.25,22.49,234.388,0.0,0.039
Australia,1968,221.694,23.51,255.285,0.0,0.305
Australia,1969,229.278,25.679,262.448,0.0,4.126
Australia,1970,231.694,30.075,290.195,0.0,17.304
Australia,1971,232.569,34.027,305.545,0.0,25.827
Australia,1972,242.931,34.163,311.033,0.0,37.074
Australia,1973,252.986,36.329,331.893,0.0,47.069
Australia,1974,264.069,41.025,351.735,0.0,53.702
Australia,1975,272.542,44.023,348.104,0.0,57.67
Australia,1976,281.792,41.853,355.821,0.0,68.077
Australia,1977,294.181,40.049,372.601,0.0,77.768
Australia,1978,301.861,43.395,380.947,0.0,83.725
Australia,1979,315.542,42.125,385.915,0.0,96.375
Australia,1980,324.764,39.821,367.768,0.0,110.666
Australia,1981,333.139,41.003,362.418,0.0,119.944
Australia,1982,336.681,37.762,356.849,0.0,116.981
Australia,1983,336.556,35.849,340.716,0.0,127.075
Australia,1984,355.903,38.813,349.914,0.0,125.317
Australia,1985,368.139,41.222,351.524,0.0,133.953
Australia,1986,377.486,41.474,345.653,0.0,146.329
Australia,1987,393.361,40.256,353.026,0.0,149.395
Australia,1988,413.764,42.387,369.837,0.0,152.993
Australia,1989,433.958,42.148,384.145,0.0,166.876
Australia,1990,444.347,43.644,392.904,0.0,167.759
Australia,1991,453.264,46.287,381.255,0.0,160.821
Australia,1992,455.958,47.139,388.779,0.0,166.37
Australia,1993,458.889,48.456,402.416,0.0,172.493
Australia,1994,468.264,47.755,415.674,0.0,191.567
Australia,1995,484.167,46.221,427.777,0.0,193.416
Australia,1996,503.958,47.219,439.015,0.0,194.827
Australia,1997,529.458,47.171,446.058,0.0,191.305
Australia,1998,553.083,46.715,445.97,0.0,196.953
Australia,1999,587.443,48.144,456.154,0.0,201.741
Australia,2000,591.662,48.691,455.982,0.0,205.551
Australia,2001,585.691,47.367,457.085,0.0,221.693
Australia,2002,598.872,46.979,461.975,0.0,228.148
Australia,2003,616.021,47.013,460.26,0.0,229.943
Australia,2004,641.921,45.203,471.296,0.0,234.536
Australia,2005,638.222,44.285,478.702,0.0,232.59
Australia,2006,655.499,42.525,493.642,0.0,259.431
Australia,2007,649.802,36.897,506.27,0.0,290.198
Australia,2008,677.291,33.201,512.716,0.0,285.35
Australia,2009,654.861,35.306,504.141,0.0,291.364
Australia,2010,607.394,38.153,519.307,0.0,317.064
Australia,2011,592.062,53.992,547.06,0.0,330.82
Australia,2012,554.468,46.712,561.419,0.0,332.848
Australia,2013,526.242,52.025,578.037,0.0,350.005
Australia,2014,521.888,39.239,575.428,0.0,375.677
Australia,2015,540.411,37.935,570.297,0.0,389.95
Australia,2016,540.062,47.195,571.459,0.0,379.527
Australia,2017,521.526,35.927,599.256,0.0,372.844
Australia,2018,508.882,45.801,609.635,0.0,371.908
Australia,2019,486.392,36.958,603.784,0.0,440.57
Australia,2020,468.061,37.874,521.934,0.0,423.173
Australia,2021,452.447,41.717,535.5,0.0,395.757
Australia,2022,429.006,43.437,568.555,0.0,432.269
Australia,2023,419.011,39.643,601.654,0.0,401.215
Austria,1965,59.115,47.557,65.297,0.0,17.529
Austria,1966,56.468,51.248,71.789,0.0,18.821
Austria,1967,53.451,52.333,76.548,0.0,18.032
Austria,1968,52.774,53.773,88.466,0.0,19.229
Austria,1969,51.936,49.435,97.226,0.0,23.329
Austria,1970,55.854,62.953,107.044,0.0,28.298
Austria,1971,51.234,49.737,119.607,0.0,32.507
Austria,1972,46.454,51.119,129.123,0.0,35.13
Austria,1973,46.17,56.801,139.928,0.0,38.611
Austria,1974,48.723,67.16,125.228,0.0,41.852
Austria,1975,42.341,70.362,126.559,0.0,41.802
Austria,1976,45.06,60.812,137.411,0.0,47.61
Austria,1977,37.8,73.691,131.587,0.0,48.52
Austria,1978,38.402,73.75,141.57,0.0,50.468
Austria,1979,41.686,83.082,147.409,0.0,50.04
Austria,1980,42.835,86.078,143.887,0.0,48.074
Austria,1981,43.85,91.215,130.631,0.0,45.824
Austria,1982,41.706,91.36,123.901,0.0,44.355
Austria,1983,44.656,90.502,120.08,0.0,45.257
Austria,1984,50.886,79.394,116.798,0.0,50.39
Austria,1985,50.815,91.002,116.986,0.0,53.992
Austria,1986,45.303,91.383,123.218,0.0,52.421
Austria,1987,44.939,104.642,126.86,0.0,54.686
Austria,1988,43.033,104.394,125.978,0.0,52.385
Austria,1989,43.227,103.738,124.222,0.0,56.26
Austria,1990,47.64,93.172,127.43,0.0,61.935
Austria,1991,49.972,92.978,136.873,0.0,65.664
Austria,1992,38.882,103.046,134.139,0.0,64.482
Austria,1993,34.959,108.538,136.786,0.0,67.812
Austria,1994,35.454,105.587,134.748,0.0,69.751
Austria,1995,40.339,109.607,135.624,0.0,76.157
Austria,1996,40.51,101.177,147.857,0.0,81.061
Austria,1997,42.968,106.763,147.184,0.0,78.126
Austria,1998,37.829,109.892,155.298,0.0,80.207
Austria,1999,37.685,120.347,147.59,0.0,81.928
Austria,2000,42.47,123.708,145.702,0.0,78.205
Austria,2001,43.879,118.85,155.139,0.0,82.882
Austria,2002,44.58,117.416,157.876,0.0,81.485
Austria,2003,47.548,96.328,167.63,0.0,89.63
Austria,2004,46.576,105.936,170.164,0.0,90.492
Austria,2005,46.731,106.219,170.741,0.0,95.277
Austria,2006,46.675,101.456,169.869,0.0,89.532
Austria,2007,45.045,104.776,163.243,0.0,84.709
Austria,2008,44.525,107.708,158.703,0.0,90.686
Austria,2009,33.461,114.212,149.565,0.0,88.319
Austria,2010,39.344,106.481,154.078,0.0,96.128
Austria,2011,40.411,94.449,145.069,0.0,90.418
Austria,2012,37.621,120.228,142.342,0.0,86.241
Austria,2013,38.131,114.513,145.649,0.0,82.005
Austria,2014,35.021,111.093,141.401,0.0,75.11
Austria,2015,37.999,100.062,142.845,0.0,79.681
Austria,2016,35.448,107.005,146.155,0.0,83.422
Austria,2017,36.565,101.911,146.429,0.0,90.699
Austria,2018,32.285,99.58,148.913,0.0,86.869
Austria,2019,33.945,107.616,153.201,0.0,89.004
Austria,2020,29.032,110.299,133.029,0.0,85.272
Austria,2021,30.162,101.4,140.215,0.0,90.154
Austria,2022,28.638,88.585,135.033,0.0,79.128
Austria,2023,26.737,100.934,135.028,0.0,68.813
Azerbaijan,1985,1.07,3.881,97.186,0.0,132.814
Azerbaijan,1986,1.07,2.378,101.817,0.0,147.569
Azerbaijan,1987,1.07,2.378,95.827,0.0,145.748
Azerbaijan,1988,1.07,2.065,98.143,0.0,143.926
Azerbaijan,1989,1.07,2.065,95.701,0.0,151.216
Azerbaijan,1990,1.035,4.903,100.395,0.0,154.219
Azerbaijan,1991,0.779,5.202,96.801,0.0,147.569
Azerbaijan,1992,0.14,5.167,94.319,0.0,114.768
Azerbaijan,1993,0.035,7.174,94.055,0.0,84.716
Azerbaijan,1994,0.047,5.411,86.159,0.0,79.248
Azerbaijan,1995,0.035,4.601,77.677,0.0,78.335
Azerbaijan,1996,0.035,4.545,69.772,0.0,57.389
Azerbaijan,1997,0.035,5.062,66.403,0.0,54.655
Azerbaijan,1998,0.0,5.769,69.873,0.0,51.003
Azerbaijan,1999,0.0,4.453,67.245,0.0,54.655
Azerbaijan,2000,0.0,4.536,74.691,0.0,52.829
Azerbaijan,2001,0.035,3.822,47.594,0.0,75.776
Azerbaijan,2002,0.023,5.896,43.698,0.0,75.991
Azerbaijan,2003,0.035,7.163,50.912,0.0,77.925
Azerbaijan,2004,0.011,7.939,54.573,0.0,91.375
Azerbaijan,2005,0.037,8.617,63.799,0.0,94.384
Azerbaijan,2006,0.037,7.165,57.113,0.0,99.777
Azerbaijan,2007,0.058,6.684,56.479,0.0,87.85
Azerbaijan,2008,0.045,6.272,44.338,0.0,100.508
Azerbaijan,2009,0.049,6.447,37.847,0.0,85.82
Azerbaijan,2010,0.048,9.565,37.244,0.0,81.58
Azerbaijan,2011,0.042,7.382,48.97,0.0,89.345
Azerbaijan,2012,0.043,4.993,51.289,0.0,93.766
Azerbaijan,2013,0.038,4.058,55.715,0.0,94.182
Azerbaijan,2014,0.024,3.521,54.86,0.0,98.544
Azerbaijan,2015,0.035,4.41,55.601,0.0,111.466
Azerbaijan,2016,0.014,5.245,55.193,0.0,109.306
Azerbaijan,2017,0.012,4.648,55.699,0.0,106.166
Azerbaijan,2018,0.008,4.678,62.741,0.0,108.158
Azerbaijan,2019,0.008,4.125,63.159,0.0,117.892
Azerbaijan,2020,0.005,2.809,57.751,0.0,123.668
Azerbaijan,2021,0.002,3.342,65.339,0.0,128.174
Azerbaijan,2022,0.001,4.16,69.259,0.0,136.162
Azerbaijan,2023,0.001,4.581,71.342,0.0,151.216
Bangladesh,1971,1.087,0.517,8.135,0.0,3.667
Bangladesh,1972,1.087,0.517,9.919,0.0,3.667
Bangladesh,1973,1.413,0.979,11.208,0.0,5.881
Bangladesh,1974,1.256,0.719,11.66,0.0,7.113
Bangladesh,1975,1.453,1.289,13.632,0.0,4.957
Bangladesh,1976,1.436,1.461,14.749,0.0,7.248
Bangladesh,1977,1.5,1.292,14.523,0.0,8.123
Bangladesh,1978,1.453,1.496,15.46,0.0,8.614
Bangladesh,1979,1.081,1.736,17.112,0.0,9.866
Bangladesh,1980,1.444,1.724,19.291,0.0,12.291
Bangladesh,1981,1.485,1.848,19.893,0.0,13.614
Bangladesh,1982,1.799,1.547,19.621,0.0,17.675
Bangladesh,1983,1.018,1.958,17.547,0.0,19.667
Bangladesh,1984,0.407,2.652,17.682,0.0,22.701
Bangladesh,1985,0.57,2.185,19.739,0.0,25.78
Bangladesh,1986,0.86,1.331,21.275,0.0,29.07
Bangladesh,1987,1.354,1.529,20.945,0.0,34.156
Bangladesh,1988,1.395,1.996,20.984,0.0,40.201
Bangladesh,1989,1.453,2.72,22.942,0.0,42.499
Bangladesh,1990,3.273,2.614,22.228,0.0,45.742
Bangladesh,1991,1.046,2.478,20.623,0.0,47.107
Bangladesh,1992,0.982,2.354,23.004,0.0,51.37
Bangladesh,1993,0.366,1.798,25.769,0.0,57.503
Bangladesh,1994,0.343,2.505,26.857,0.0,60.986
Bangladesh,1995,3.732,1.1,34.853,0.0,67.423
Bangladesh,1996,2.046,2.185,35.606,0.0,72.365
Bangladesh,1997,3.755,2.126,40.877,0.0,71.133
Bangladesh,1998,1.081,2.558,45.056,0.0,76.864
Bangladesh,1999,0.535,2.463,40.184,0.0,83.804
Bangladesh,2000,3.836,2.215,39.488,0.0,90.582
Bangladesh,2001,4.069,2.917,47.167,0.0,101.432
Bangladesh,2002,4.249,2.186,42.876,0.0,106.711
Bangladesh,2003,4.063,2.172,43.894,0.0,114.784
Bangladesh,2004,4.069,2.158,45.732,0.0,123.402
Bangladesh,2005,8.348,2.145,46.996,0.0,132.634
Bangladesh,2006,12.684,2.131,47.272,0.0,143.634
Bangladesh,2007,10.351,2.118,45.713,0.0,153.364
Bangladesh,2008,10.896,2.67,45.394,0.0,163.764
Bangladesh,2009,13.615,1.165,42.926,0.0,187.467
Bangladesh,2010,8.676,2.023,47.633,0.0,192.537
Bangladesh,2011,12.916,2.406,60.02,0.0,195.821
Bangladesh,2012,10.657,2.13,68.357,0.0,213.363
Bangladesh,2013,14.76,1.985,69.64,0.0,219.528
Bangladesh,2014,9.351,1.535,76.665,0.0,230.223
Bangladesh,2015,30.633,2.419,92.684,0.0,258.541
Bangladesh,2016,23.036,2.368,96.11,0.0,264.509
Bangladesh,2017,25.117,2.74,108.254,0.0,265.927
Bangladesh,2018,28.569,2.29,124.194,0.0,274.29
Bangladesh,2019,48.065,2.17,121.873,0.0,309.344
Bangladesh,2020,52.347,1.84,102.721,0.0,299.153
Bangladesh,2021,42.311,1.784,140.567,0.0,306.089
Bangladesh,2022,55.397,2.021,171.402,0.0,286.872
Bangladesh,2023,78.291,1.776,143.814,0.0,281.259
Belarus,1985,25.112,0.059,296.34,0.0,86.532
Belarus,1986,27.472,0.059,350.119,0.0,88.189
Belarus,1987,26.711,0.059,346.306,0.0,99.543
Belarus,1988,28.616,0.059,335.469,0.0,115.26
Belarus,1989,28.092,0.059,314.127,0.0,121.382
Belarus,1990,24.71,0.059,311.878,0.0,129.325
Belarus,1991,23.473,0.053,306.031,0.0,135.349
Belarus,1992,19.55,0.05,226.377,0.0,157.178
Belarus,1993,16.79,0.056,174.433,0.0,145.833
Belarus,1994,11.764,0.056,142.508,0.0,127.486
Belarus,1995,11.07,0.059,124.317,0.0,115.26
Belarus,1996,13.435,0.047,122.274,0.0,121.382
Belarus,1997,14.157,0.062,107.041,0.0,138.84
Belarus,1998,12.564,0.083,101.113,0.0,140.591
Belarus,1999,11.656,0.056,92.492,0.0,143.212
Belarus,2000,11.572,0.08,91.411,0.0,151.936
Belarus,2001,8.309,0.088,88.449,0.0,151.066
Belarus,2002,7.837,0.085,93.126,0.0,155.428
Belarus,2003,7.377,0.081,94.287,0.0,152.807
Belarus,2004,7.226,0.095,92.366,0.0,185.344
Belarus,2005,7.98,0.103,85.994,0.0,190.027
Belarus,2006,7.145,0.1,100.911,0.0,193.948
Belarus,2007,8.08,0.099,91.785,0.0,194.715
Belarus,2008,7.533,0.11,91.367,0.0,199.415
Belarus,2009,7.177,0.126,105.462,0.0,169.32
Belarus,2010,7.507,0.125,90.624,0.0,207.284
Belarus,2011,9.019,0.116,98.655,0.0,192.262
Belarus,2012,9.199,0.197,121.08,0.0,194.101
Belarus,2013,9.764,0.376,90.81,0.0,192.703
Belarus,2014,9.686,0.328,93.064,0.0,191.214
Belarus,2015,8.614,0.299,78.404,0.0,178.989
Belarus,2016,9.468,0.38,84.304,0.0,177.875
Belarus,2017,9.792,1.08,83.84,0.0,182.088
Belarus,2018,14.689,0.857,97.461,0.0,193.143
Belarus,2019,15.468,0.925,99.327,0.0,191.645
Belarus,2020,9.734,1.051,95.61,0.852,177.51
Belarus,2021,9.897,0.971,90.425,14.514,187.617
Belarus,2022,10.879,0.965,83.48,11.722,184.624
Belarus,2023,11.258,0.779,84.472,29.251,167.84
Belgium,1965,222.937,0.804,188.465,0.0,0.735
Belgium,1966,203.371,0.884,192.26,0.017,1.326
Belgium,1967,199.597,0.704,212.032,0.267,5.055
Belgium,1968,206.064,0.722,246.159,0.173,12.299
Belgium,1969,200.69,0.68,284.007,0.062,25.335
Belgium,1970,189.134,0.727,309.816,0.162,39.752
Belgium,1971,156.617,0.396,317.506,0.0,54.815
Belgium,1972,149.583,0.532,343.472,0.031,69.113
Belgium,1973,125.528,0.506,360.634,0.216,83.072
Belgium,1974,134.267,0.71,317.684,0.42,97.357
Belgium,1975,100.279,0.541,301.49,19.25,96.195
Belgium,1976,104.504,0.322,314.482,28.477,101.611
Belgium,1977,105.995,0.662,309.31,33.877,99.969
Belgium,1978,108.544,0.659,330.051,35.506,99.125
Belgium,1979,120.935,0.692,328.017,32.368,108.305
Belgium,1980,121.915,0.822,303.173,35.608,103.632
Belgium,1981,126.293,1.127,277.881,36.488,95.58
Belgium,1982,126.491,0.985,263.125,44.447,79.686
Belgium,1983,107.94,0.994,238.756,68.401,82.809
Belgium,1984,125.179,1.038,231.012,78.721,85.451
Belgium,1985,124.827,0.849,234.479,98.181,85.864
Belgium,1986,106.509,1.014,264.944,111.781,77.095
Belgium,1987,105.993,1.269,266.848,119.082,85.016
Belgium,1988,107.108,1.062,275.227,122.303,83.906
Belgium,1989,112.535,0.902,270.306,116.954,93.244
Belgium,1990,123.632,0.787,279.091,121.224,95.699
Belgium,1991,118.261,0.677,299.267,121.619,102.078
Belgium,1992,105.84,1.008,305.273,123.307,105.201
Belgium,1993,100.259,0.751,300.306,118.968,110.093
Belgium,1994,107.766,1.023,326.463,115.271,112.576
Belgium,1995,102.929,0.999,325.266,117.348,124.525
Belgium,1996,98.508,0.707,352.254,122.967,138.421
Belgium,1997,91.962,0.902,360.931,134.521,132.045
Belgium,1998,91.477,1.15,365.943,130.994,144.644
Belgium,1999,80.152,1.008,353.812,139.086,154.46
Belgium,2000,88.684,1.36,359.535,136.646,155.263
Belgium,2001,84.474,1.296,365.036,130.662,153.376
Belgium,2002,72.416,1.051,366.563,132.651,158.325
Belgium,2003,70.049,0.716,387.416,131.853,168.666
Belgium,2004,65.154,0.913,392.122,130.828,171.88
Belgium,2005,59.866,0.825,389.986,130.778,168.935
Belgium,2006,59.077,1.022,388.743,127.361,173.889
Belgium,2007,53.987,1.1,392.629,130.858,175.19
Belgium,2008,53.316,1.152,411.841,122.875,174.014
Belgium,2009,34.345,0.916,360.922,126.549,175.741
Belgium,2010,43.6,0.866,374.983,127.696,194.04
Belgium,2011,41.049,0.541,350.517,127.685,165.24
Belgium,2012,38.663,0.979,337.581,106.022,167.4
Belgium,2013,40.908,1.036,345.841,111.527,165.33
Belgium,2014,39.673,0.792,338.911,87.616,144.63
Belgium,2015,38.741,0.857,348.062,67.454,158.499
Belgium,2016,36.819,0.991,352.991,111.805,161.892
Belgium,2017,36.07,0.719,357.474,107.837,164.115
Belgium,2018,35.873,0.773,383.168,72.603,168.741
Belgium,2019,35.962,0.796,358.856,110.092,173.869
Belgium,2020,27.931,0.701,307.183,86.782,169.982
Belgium,2021,30.891,1.094,341.012,126.367,169.606
Belgium,2022,32.201,0.707,331.763,109.777,145.534
Belgium,2023,27.395,1.019,315.108,82.08,137.061
Brazil,1965,20.178,75.448,177.731,0.0,0.513
Brazil,1966,21.864,82.518,193.798,0.0,0.6
Brazil,1967,22.597,86.312,199.992,0.0,0.679
Brazil,1968,22.237,90.336,240.196,0.0,0.717
Brazil,1969,24.818,96.67,263.568,0.0,0.756
Brazil,1970,28.345,117.691,301.269,0.0,0.811
Brazil,1971,28.532,127.739,342.167,0.0,1.277
Brazil,1972,30.036,149.863,388.738,0.0,1.754
Brazil,1973,29.519,171.18,470.937,0.0,2.007
Brazil,1974,31.312,194.212,522.154,0.0,3.862
Brazil,1975,37.225,213.752,538.165,0.0,4.197
Brazil,1976,39.726,245.173,579.715,0.0,4.836
Brazil,1977,50.386,276.419,590.533,0.0,6.032
Brazil,1978,57.935,303.819,646.767,0.0,7.938
Brazil,1979,62.929,344.726,688.536,0.0,8.698
Brazil,1980,68.645,381.177,667.908,0.0,10.168
Brazil,1981,67.158,386.671,643.287,0.0,9.124
Brazil,1982,70.992,417.326,655.048,0.0,13.037
Brazil,1983,79.837,447.91,611.245,0.0,17.629
Brazil,1984,98.591,492.614,610.069,4.662,20.519
Brazil,1985,116.548,527.453,628.436,9.594,25.74
Brazil,1986,117.993,539.411,679.394,0.409,29.987
Brazil,1987,123.555,548.817,696.634,2.761,33.475
Brazil,1988,126.268,588.716,697.739,1.725,33.698
Brazil,1989,125.291,605.266,715.059,5.193,34.549
Brazil,1990,111.621,611.233,719.214,6.348,31.455
Brazil,1991,127.964,643.979,720.024,4.092,32.701
Brazil,1992,124.18,660.423,723.331,4.991,37.044
Brazil,1993,127.936,695.085,753.877,1.254,43.395
Brazil,1994,131.332,717.676,801.578,0.156,47.392
Brazil,1995,137.73,750.795,859.955,7.148,52.305
Brazil,1996,142.119,785.778,921.485,6.887,57.627
Brazil,1997,142.971,824.919,1003.697,8.992,62.625
Brazil,1998,140.04,861.871,1042.421,9.264,65.632
Brazil,1999,141.808,866.398,1044.327,11.285,77.88
Brazil,2000,151.181,900.117,1091.095,17.156,97.045
Brazil,2001,148.788,786.963,1099.673,40.254,122.862
Brazil,2002,144.01,835.056,1077.904,38.753,145.163
Brazil,2003,149.419,886.324,1048.221,37.175,162.473
Brazil,2004,156.657,924.425,1083.564,32.107,193.225
Brazil,2005,151.085,966.278,1101.676,27.079,201.271
Brazil,2006,148.974,992.493,1126.731,37.555,211.698
Brazil,2007,157.872,1057.573,1183.292,33.51,218.016
Brazil,2008,160.132,1038.475,1231.772,37.667,256.609
Brazil,2009,129.207,1091.917,1218.802,34.723,206.686
Brazil,2010,168.198,1119.363,1305.481,38.681,275.768
Brazil,2011,179.673,1181.623,1351.837,41.453,274.834
Brazil,2012,177.8,1138.841,1431.951,42.199,325.765
Brazil,2013,191.647,1065.617,1471.003,40.406,383.828
Brazil,2014,203.77,1011.683,1529.594,39.978,406.555
Brazil,2015,204.981,968.777,1436.562,38.075,429.365
Brazil,2016,185.15,1019.713,1360.291,40.754,370.879
Brazil,2017,195.275,987.09,1374.216,40.194,376.32
Brazil,2018,190.978,1029.111,1307.221,39.793,358.908
Brazil,2019,179.512,1048.793,1301.595,40.797,357.333
Brazil,2020,163.133,1041.012,1228.752,35.415,314.237
Brazil,2021,197.908,949.379,1327.642,36.923,404.465
Brazil,2022,162.662,1113.543,1390.7,36.424,319.876
Brazil,2023,159.094,1113.496,1418.943,36.169,299.88
Bulgaria,1965,69.733,5.914,43.715,0.0,0.563
Bulgaria,1966,71.908,5.944,49.874,0.0,0.839
Bulgaria,1967,78.084,5.979,62.722,0.0,2.555
Bulgaria,1968,84.829,3.859,74.338,0.0,3.911
Bulgaria,1969,85.283,5.438,91.279,0.0,4.068
Bulgaria,1970,93.284,6.363,106.039,0.0,3.672
